country,country_code,region,year,ai_investment_usd_bn,patents_filed,research_papers,notable_ml_models,ai_startups_funded,income_group,is_g20_member,ai_readiness_score,policy_count,national_strategy_adopted,ai_talent_score,market_revenue_usd_bn,growth_rate_yoy_pct,cagr_5yr_pct
Singapore,SGP,Asia-Pacific,2021,1.0,590,1700,3,120,High Income,0,87.4,13,1,89.0,1.4,100.0,41.2
Singapore,SGP,Asia-Pacific,2022,1.3,670,2000,4,138,High Income,0,88.9,18,1,89.8,2.0,42.9,41.2
Singapore,SGP,Asia-Pacific,2023,1.2,760,2300,4,130,High Income,0,90.4,25,1,90.5,2.8,40.0,41.2
Singapore,SGP,Asia-Pacific,2024,1.5,860,2700,4,125,High Income,0,91.8,35,1,91.2,4.2,50.0,41.2
Japan,JPN,Asia-Pacific,2019,0.6,15200,8900,3,145,High Income,1,80.5,4,1,83.8,1.8,22.4,26.5
Japan,JPN,Asia-Pacific,2020,0.8,16400,9600,4,158,High Income,1,82.0,7,1,84.5,2.3,27.8,26.5
Japan,JPN,Asia-Pacific,2021,1.3,17800,10500,5,182,High Income,1,83.5,11,1,85.2,4.2,82.6,26.5
Japan,JPN,Asia-Pacific,2022,1.5,19200,11400,5,198,High Income,1,85.0,16,1,86.0,6.0,42.9,26.5
Japan,JPN,Asia-Pacific,2023,1.4,20800,12400,5,190,High Income,1,86.5,22,1,86.7,7.9,31.7,26.5
Japan,JPN,Asia-Pacific,2024,1.8,22500,13500,5,182,High Income,1,88.0,31,1,87.5,11.2,41.8,26.5
Australia,AUS,Asia-Pacific,2019,0.3,980,2800,2,65,High Income,0,79.5,4,1,82.8,0.4,25.2,29.8
Australia,AUS,Asia-Pacific,2020,0.4,1100,3200,2,72,High Income,0,81.0,7,1,83.5,0.5,25.0,29.8
Australia,AUS,Asia-Pacific,2021,0.7,1250,3700,3,90,High Income,0,82.5,11,1,84.2,1.0,100.0,29.8
Australia,AUS,Asia-Pacific,2022,0.9,1420,4300,3,102,High Income,0,84.0,16,1,84.9,1.5,50.0,29.8
Australia,AUS,Asia-Pacific,2023,0.8,1600,4900,3,98,High Income,0,85.5,22,1,85.6,2.1,40.0,29.8
Australia,AUS,Asia-Pacific,2024,1.1,1800,5600,3,95,High Income,0,87.0,31,1,86.3,3.2,52.4,29.8
Brazil,BRA,Latin America,2019,0.2,620,1800,1,58,Upper Middle Income,1,48.5,2,1,52.8,0.3,35.8,38.5
Brazil,BRA,Latin America,2020,0.3,700,2100,1,65,Upper Middle Income,1,51.2,4,1,55.2,0.4,33.3,38.5
Brazil,BRA,Latin America,2021,0.5,800,2500,2,82,Upper Middle Income,1,54.0,6,1,57.6,0.8,100.0,38.5
Brazil,BRA,Latin America,2022,0.7,900,2900,2,95,Upper Middle Income,1,56.8,9,1,60.0,1.2,50.0,38.5
Brazil,BRA,Latin America,2023,0.8,1020,3400,2,92,Upper Middle Income,1,59.5,14,1,62.4,1.7,41.7,38.5
Brazil,BRA,Latin America,2024,1.0,1150,3900,2,88,Upper Middle Income,1,62.2,20,1,64.8,2.6,52.9,38.5
United Arab Emirates,ARE,Middle East,2019,0.3,380,680,1,55,High Income,0,68.5,6,1,72.8,0.3,40.2,42.5
United Arab Emirates,ARE,Middle East,2020,0.4,440,800,2,65,High Income,0,71.2,10,1,74.5,0.4,33.3,42.5
United Arab Emirates,ARE,Middle East,2021,0.7,520,980,2,82,High Income,0,74.0,15,1,76.2,0.8,100.0,42.5
United Arab Emirates,ARE,Middle East,2022,0.9,610,1200,3,98,High Income,0,76.8,21,1,78.0,1.3,62.5,42.5
United Arab Emirates,ARE,Middle East,2023,1.1,720,1450,3,110,High Income,0,79.5,30,1,79.7,1.9,46.2,42.5
United Arab Emirates,ARE,Middle East,2024,1.4,850,1750,4,120,High Income,0,82.2,42,1,81.5,3.0,57.9,42.5
