year,industry,ai_adoption_rate_pct,ai_function,region,sample_size,yoy_growth_pct,ai_spending_usd_bn,use_case_category,pilot_to_prod_rate_pct,barrier_type
2025,Financial Services,78,Fraud Detection,Europe,265,14.71,13.0,NLP,34.0,Data Quality
2019,Financial Services,45,Risk Assessment,North America,248,,,,,
2020,Financial Services,50,Risk Assessment,North America,260,11.11,,,,
2021,Financial Services,55,Risk Assessment,North America,265,10.0,18.2,NLP,52.0,Data Quality
2021,Financial Services,55,Risk Assessment,North America,265,10.0,9.8,NLP,48.0,GDPR Compliance
2021,Financial Services,55,Risk Assessment,North America,265,10.0,8.5,NLP,45.0,Data Quality
2021,Financial Services,55,Risk Assessment,North America,265,10.0,2.8,NLP,22.0,Infrastructure
2022,Financial Services,60,Risk Assessment,North America,270,9.09,24.5,NLP,54.0,Data Quality
2022,Financial Services,60,Risk Assessment,North America,270,9.09,13.2,NLP,50.0,GDPR Compliance
2022,Financial Services,60,Risk Assessment,North America,270,9.09,11.8,NLP,47.0,Data Quality
2022,Financial Services,60,Risk Assessment,North America,270,9.09,4.0,NLP,25.0,Infrastructure
2023,Financial Services,64,Risk Assessment,North America,248,6.67,32.1,NLP,56.0,Regulatory Compliance
2023,Financial Services,64,Risk Assessment,North America,248,6.67,17.8,NLP,52.0,Regulatory Compliance
2023,Financial Services,64,Risk Assessment,North America,248,6.67,16.5,NLP,49.0,Regulatory Compliance
2023,Financial Services,64,Risk Assessment,North America,248,6.67,5.8,NLP,28.0,Data Quality
2024,Financial Services,72,Risk Assessment,North America,260,12.5,46.8,NLP,58.0,Talent Gap
2024,Financial Services,72,Risk Assessment,North America,260,12.5,25.5,NLP,54.0,Regulatory Compliance
2024,Financial Services,72,Risk Assessment,North America,260,12.5,24.0,NLP,51.0,Regulatory Compliance
2024,Financial Services,72,Risk Assessment,North America,260,12.5,8.8,NLP,31.0,Data Quality
2025,Financial Services,82,Risk Assessment,North America,265,13.89,65.0,NLP,60.0,Talent Gap
2025,Financial Services,82,Risk Assessment,North America,265,13.89,36.0,NLP,56.0,Regulatory Compliance
2025,Financial Services,82,Risk Assessment,North America,265,13.89,34.5,NLP,53.0,Regulatory Compliance
2025,Financial Services,82,Risk Assessment,North America,265,13.89,13.0,NLP,34.0,Data Quality
2019,Healthcare,20,Drug Discovery,Asia-Pacific,130,,,,,
2020,Healthcare,24,Drug Discovery,Asia-Pacific,140,20.0,,,,
2021,Healthcare,28,Drug Discovery,Asia-Pacific,142,16.67,8.5,Computer Vision,28.0,Regulatory Compliance
2021,Healthcare,28,Drug Discovery,Asia-Pacific,142,16.67,5.2,Computer Vision,25.0,Regulatory Compliance
2022,Healthcare,32,Drug Discovery,Asia-Pacific,148,14.29,11.8,Computer Vision,30.0,Regulatory Compliance
2022,Healthcare,32,Drug Discovery,Asia-Pacific,148,14.29,7.1,Computer Vision,27.0,GDPR Compliance
2023,Healthcare,33,Drug Discovery,Asia-Pacific,130,3.12,16.2,Computer Vision,33.0,Data Privacy
2023,Healthcare,33,Drug Discovery,Asia-Pacific,130,3.12,9.8,Computer Vision,29.0,GDPR Compliance
2024,Healthcare,40,Drug Discovery,Asia-Pacific,145,21.21,24.5,Computer Vision,36.0,Data Privacy
2024,Healthcare,40,Drug Discovery,Asia-Pacific,145,21.21,14.5,Computer Vision,32.0,Data Privacy
2025,Healthcare,50,Drug Discovery,Asia-Pacific,148,25.0,35.0,Computer Vision,38.0,Data Privacy
2025,Healthcare,50,Drug Discovery,Asia-Pacific,148,25.0,20.5,Computer Vision,34.0,Data Privacy
2019,Healthcare,24,Diagnostics,Europe,130,,,,,
2020,Healthcare,27,Diagnostics,Europe,140,12.5,,,,
2021,Healthcare,30,Diagnostics,Europe,142,11.11,8.5,Computer Vision,28.0,Regulatory Compliance
2021,Healthcare,30,Diagnostics,Europe,142,11.11,5.2,Computer Vision,25.0,Regulatory Compliance
2022,Healthcare,34,Diagnostics,Europe,148,13.33,11.8,Computer Vision,30.0,Regulatory Compliance
2022,Healthcare,34,Diagnostics,Europe,148,13.33,7.1,Computer Vision,27.0,GDPR Compliance
2023,Healthcare,35,Diagnostics,Europe,130,2.94,16.2,Computer Vision,33.0,Data Privacy
2023,Healthcare,35,Diagnostics,Europe,130,2.94,9.8,Computer Vision,29.0,GDPR Compliance
2024,Healthcare,42,Diagnostics,Europe,145,20.0,24.5,Computer Vision,36.0,Data Privacy
2024,Healthcare,42,Diagnostics,Europe,145,20.0,14.5,Computer Vision,32.0,Data Privacy
2025,Healthcare,52,Diagnostics,Europe,148,23.81,35.0,Computer Vision,38.0,Data Privacy
2025,Healthcare,52,Diagnostics,Europe,148,23.81,20.5,Computer Vision,34.0,Data Privacy
2019,Healthcare,27,Clinical Decision Support,North America,130,,,,,
2020,Healthcare,30,Clinical Decision Support,North America,140,11.11,,,,
2021,Healthcare,33,Clinical Decision Support,North America,142,10.0,8.5,Computer Vision,28.0,Regulatory Compliance
2021,Healthcare,33,Clinical Decision Support,North America,142,10.0,5.2,Computer Vision,25.0,Regulatory Compliance
2022,Healthcare,37,Clinical Decision Support,North America,148,12.12,11.8,Computer Vision,30.0,Regulatory Compliance
2022,Healthcare,37,Clinical Decision Support,North America,148,12.12,7.1,Computer Vision,27.0,GDPR Compliance
2023,Healthcare,38,Clinical Decision Support,North America,130,2.7,16.2,Computer Vision,33.0,Data Privacy
2023,Healthcare,38,Clinical Decision Support,North America,130,2.7,9.8,Computer Vision,29.0,GDPR Compliance
2024,Healthcare,45,Clinical Decision Support,North America,145,18.42,24.5,Computer Vision,36.0,Data Privacy
2024,Healthcare,45,Clinical Decision Support,North America,145,18.42,14.5,Computer Vision,32.0,Data Privacy
2025,Healthcare,56,Clinical Decision Support,North America,148,24.44,35.0,Computer Vision,38.0,Data Privacy
2025,Healthcare,56,Clinical Decision Support,North America,148,24.44,20.5,Computer Vision,34.0,Data Privacy
2019,Manufacturing,21,Quality Control,Europe,112,,,,,
2020,Manufacturing,25,Quality Control,Europe,115,19.05,,,,
2021,Manufacturing,29,Quality Control,Europe,118,16.0,9.8,Automation,32.0,Legacy Systems
2021,Manufacturing,29,Quality Control,Europe,118,16.0,8.2,Automation,35.0,Legacy Systems
2021,Manufacturing,29,Quality Control,Europe,118,16.0,12.5,Automation,38.0,Legacy Systems
2022,Manufacturing,32,Quality Control,Europe,122,10.34,13.2,Automation,34.0,Legacy Systems
2022,Manufacturing,32,Quality Control,Europe,122,10.34,11.0,Automation,37.0,Legacy Systems
2022,Manufacturing,32,Quality Control,Europe,122,10.34,17.2,Automation,40.0,Legacy Systems
2023,Manufacturing,36,Quality Control,Europe,112,12.5,18.0,Automation,36.0,Talent Gap
2023,Manufacturing,36,Quality Control,Europe,112,12.5,15.0,Automation,39.0,Skills Gap
2023,Manufacturing,36,Quality Control,Europe,112,12.5,24.0,Automation,42.0,Talent Gap
2024,Manufacturing,46,Quality Control,Europe,125,27.78,26.5,Automation,39.0,Talent Gap
2024,Manufacturing,46,Quality Control,Europe,125,27.78,22.0,Automation,42.0,Skills Gap
2024,Manufacturing,46,Quality Control,Europe,125,27.78,35.0,Automation,45.0,Talent Gap
2025,Manufacturing,58,Quality Control,Europe,128,26.09,38.0,Automation,42.0,Talent Gap
2025,Manufacturing,58,Quality Control,Europe,128,26.09,31.5,Automation,44.0,Skills Gap
2025,Manufacturing,58,Quality Control,Europe,128,26.09,50.0,Automation,48.0,Talent Gap
2019,Manufacturing,23,Predictive Maintenance,North America,112,,,,,
2020,Manufacturing,28,Predictive Maintenance,North America,115,21.74,,,,
2021,Manufacturing,32,Predictive Maintenance,North America,118,14.29,9.8,Automation,32.0,Legacy Systems
2021,Manufacturing,32,Predictive Maintenance,North America,118,14.29,8.2,Automation,35.0,Legacy Systems
2021,Manufacturing,32,Predictive Maintenance,North America,118,14.29,12.5,Automation,38.0,Legacy Systems
2022,Manufacturing,36,Predictive Maintenance,North America,122,12.5,13.2,Automation,34.0,Legacy Systems
2022,Manufacturing,36,Predictive Maintenance,North America,122,12.5,11.0,Automation,37.0,Legacy Systems
2022,Manufacturing,36,Predictive Maintenance,North America,122,12.5,17.2,Automation,40.0,Legacy Systems
2023,Manufacturing,39,Predictive Maintenance,North America,112,8.33,18.0,Automation,36.0,Talent Gap
2023,Manufacturing,39,Predictive Maintenance,North America,112,8.33,15.0,Automation,39.0,Skills Gap
2023,Manufacturing,39,Predictive Maintenance,North America,112,8.33,24.0,Automation,42.0,Talent Gap
2024,Manufacturing,50,Predictive Maintenance,North America,125,28.21,26.5,Automation,39.0,Talent Gap
2024,Manufacturing,50,Predictive Maintenance,North America,125,28.21,22.0,Automation,42.0,Skills Gap
2024,Manufacturing,50,Predictive Maintenance,North America,125,28.21,35.0,Automation,45.0,Talent Gap
2025,Manufacturing,63,Predictive Maintenance,North America,128,26.0,38.0,Automation,42.0,Talent Gap
2025,Manufacturing,63,Predictive Maintenance,North America,128,26.0,31.5,Automation,44.0,Skills Gap
2025,Manufacturing,63,Predictive Maintenance,North America,128,26.0,50.0,Automation,48.0,Talent Gap
2019,Media & Telecom,33,Content Recommendation,North America,69,,,,,
2020,Media & Telecom,40,Content Recommendation,North America,75,21.21,,,,
2021,Media & Telecom,46,Content Recommendation,North America,78,15.0,,,,
2022,Media & Telecom,50,Content Recommendation,North America,80,8.7,,,,
2023,Media & Telecom,54,Content Recommendation,North America,69,8.0,,,,
2024,Media & Telecom,66,Content Recommendation,North America,85,22.22,,,,
2025,Media & Telecom,78,Content Recommendation,North America,88,18.18,,,,
2019,Professional Services,35,Knowledge Management,North America,215,,,,,
2020,Professional Services,42,Knowledge Management,North America,220,20.0,,,,
2021,Professional Services,50,Knowledge Management,North America,225,19.05,7.5,NLP,58.0,Scale & Performance
2022,Professional Services,55,Knowledge Management,North America,230,10.0,10.5,NLP,60.0,Data Quality
2023,Professional Services,62,Knowledge Management,North America,215,12.73,15.0,NLP,62.0,ROI Measurement
2024,Professional Services,74,Knowledge Management,North America,230,19.35,23.0,NLP,64.0,ROI Measurement
2025,Professional Services,86,Knowledge Management,North America,235,16.22,34.0,NLP,66.0,ROI Measurement
2023,Retail & Consumer Goods,44,Personalization,Developing Markets,100,,22.5,Automation,46.0,ROI Measurement
2024,Retail & Consumer Goods,52,Personalization,Developing Markets,110,18.18,32.0,Automation,48.0,ROI Measurement
2019,Retail & Consumer Goods,28,Demand Forecasting,Europe,128,,,,,
2020,Retail & Consumer Goods,34,Demand Forecasting,Europe,135,21.43,,,,
2021,Retail & Consumer Goods,40,Demand Forecasting,Europe,138,17.65,12.4,Automation,42.0,Integration Complexity
2022,Retail & Consumer Goods,45,Demand Forecasting,Europe,142,12.5,16.8,Automation,44.0,Integration Complexity
2023,Retail & Consumer Goods,50,Demand Forecasting,Europe,128,11.11,22.5,Automation,46.0,ROI Measurement
2024,Retail & Consumer Goods,60,Demand Forecasting,Europe,140,20.0,32.0,Automation,48.0,ROI Measurement
2025,Retail & Consumer Goods,70,Demand Forecasting,Europe,145,16.67,44.0,Automation,50.0,ROI Measurement
2019,Retail & Consumer Goods,30,Personalization,North America,128,,,,,
2020,Retail & Consumer Goods,38,Personalization,North America,135,26.67,,,,
2021,Retail & Consumer Goods,43,Personalization,North America,138,13.16,12.4,Automation,42.0,Integration Complexity
2022,Retail & Consumer Goods,48,Personalization,North America,142,11.63,16.8,Automation,44.0,Integration Complexity
2023,Retail & Consumer Goods,53,Personalization,North America,128,10.42,22.5,Automation,46.0,ROI Measurement
2024,Retail & Consumer Goods,63,Personalization,North America,140,18.87,32.0,Automation,48.0,ROI Measurement
2025,Retail & Consumer Goods,74,Personalization,North America,145,17.46,44.0,Automation,50.0,ROI Measurement
2019,Technology,48,Computer Vision,Asia-Pacific,175,,,,,
2020,Technology,55,Computer Vision,Asia-Pacific,180,14.58,,,,
2021,Technology,60,Computer Vision,Asia-Pacific,182,9.09,22.5,NLP,62.0,Scale & Performance
2021,Technology,60,Computer Vision,Asia-Pacific,182,9.09,14.8,Computer Vision,55.0,Infrastructure
2021,Technology,60,Computer Vision,Asia-Pacific,182,9.09,3.5,Automation,30.0,Infrastructure
2022,Technology,65,Computer Vision,Asia-Pacific,184,8.33,30.8,NLP,64.0,Scale & Performance
2022,Technology,65,Computer Vision,Asia-Pacific,184,8.33,20.5,Computer Vision,57.0,Infrastructure
2022,Technology,65,Computer Vision,Asia-Pacific,184,8.33,5.2,Automation,32.0,Infrastructure
2023,Technology,72,Computer Vision,Asia-Pacific,184,10.77,42.0,NLP,66.0,Data Quality
2023,Technology,72,Computer Vision,Asia-Pacific,184,10.77,28.5,Computer Vision,59.0,Talent Gap
2023,Technology,72,Computer Vision,Asia-Pacific,184,10.77,7.8,Automation,35.0,Talent Gap
2024,Technology,78,Computer Vision,Asia-Pacific,190,8.33,62.5,NLP,68.0,Data Quality
2024,Technology,78,Computer Vision,Asia-Pacific,190,8.33,42.0,Computer Vision,61.0,Talent Gap
2024,Technology,78,Computer Vision,Asia-Pacific,190,8.33,12.0,Automation,38.0,Talent Gap
2025,Technology,86,Computer Vision,Asia-Pacific,195,10.26,88.0,NLP,70.0,Data Quality
2025,Technology,86,Computer Vision,Asia-Pacific,195,10.26,60.0,Computer Vision,63.0,Talent Gap
2025,Technology,86,Computer Vision,Asia-Pacific,195,10.26,18.0,Automation,41.0,Talent Gap
2023,Technology,60,Automation,Developing Markets,120,,42.0,NLP,66.0,Data Quality
2023,Technology,60,Automation,Developing Markets,120,,28.5,Computer Vision,59.0,Talent Gap
2023,Technology,60,Automation,Developing Markets,120,,7.8,Automation,35.0,Talent Gap
2024,Technology,65,Automation,Developing Markets,130,8.33,62.5,NLP,68.0,Data Quality
2024,Technology,65,Automation,Developing Markets,130,8.33,42.0,Computer Vision,61.0,Talent Gap
2024,Technology,65,Automation,Developing Markets,130,8.33,12.0,Automation,38.0,Talent Gap
2019,Technology,52,Natural Language Processing,Europe,175,,,,,
2020,Technology,58,Natural Language Processing,Europe,180,11.54,,,,
2021,Technology,62,Natural Language Processing,Europe,182,6.9,22.5,NLP,62.0,Scale & Performance
2021,Technology,62,Natural Language Processing,Europe,182,6.9,14.8,Computer Vision,55.0,Infrastructure
2021,Technology,62,Natural Language Processing,Europe,182,6.9,3.5,Automation,30.0,Infrastructure
2022,Technology,67,Natural Language Processing,Europe,184,8.06,30.8,NLP,64.0,Scale & Performance
2022,Technology,67,Natural Language Processing,Europe,184,8.06,20.5,Computer Vision,57.0,Infrastructure
2022,Technology,67,Natural Language Processing,Europe,184,8.06,5.2,Automation,32.0,Infrastructure
2023,Technology,74,Natural Language Processing,Europe,184,10.45,42.0,NLP,66.0,Data Quality
2023,Technology,74,Natural Language Processing,Europe,184,10.45,28.5,Computer Vision,59.0,Talent Gap
2023,Technology,74,Natural Language Processing,Europe,184,10.45,7.8,Automation,35.0,Talent Gap
2024,Technology,80,Natural Language Processing,Europe,190,8.11,62.5,NLP,68.0,Data Quality
2024,Technology,80,Natural Language Processing,Europe,190,8.11,42.0,Computer Vision,61.0,Talent Gap
2024,Technology,80,Natural Language Processing,Europe,190,8.11,12.0,Automation,38.0,Talent Gap
2025,Technology,88,Natural Language Processing,Europe,195,10.0,88.0,NLP,70.0,Data Quality
2025,Technology,88,Natural Language Processing,Europe,195,10.0,60.0,Computer Vision,63.0,Talent Gap
2025,Technology,88,Natural Language Processing,Europe,195,10.0,18.0,Automation,41.0,Talent Gap
2019,Technology,55,Robotic Process Automation,North America,175,,,,,
2020,Technology,60,Robotic Process Automation,North America,180,9.09,,,,
2021,Technology,65,Robotic Process Automation,North America,182,8.33,22.5,NLP,62.0,Scale & Performance
2021,Technology,65,Robotic Process Automation,North America,182,8.33,14.8,Computer Vision,55.0,Infrastructure
2021,Technology,65,Robotic Process Automation,North America,182,8.33,3.5,Automation,30.0,Infrastructure
2022,Technology,70,Robotic Process Automation,North America,184,7.69,30.8,NLP,64.0,Scale & Performance
2022,Technology,70,Robotic Process Automation,North America,184,7.69,20.5,Computer Vision,57.0,Infrastructure
2022,Technology,70,Robotic Process Automation,North America,184,7.69,5.2,Automation,32.0,Infrastructure
2023,Technology,77,Robotic Process Automation,North America,184,10.0,42.0,NLP,66.0,Data Quality
2023,Technology,77,Robotic Process Automation,North America,184,10.0,28.5,Computer Vision,59.0,Talent Gap
2023,Technology,77,Robotic Process Automation,North America,184,10.0,7.8,Automation,35.0,Talent Gap
2024,Technology,84,Robotic Process Automation,North America,190,9.09,62.5,NLP,68.0,Data Quality
2024,Technology,84,Robotic Process Automation,North America,190,9.09,42.0,Computer Vision,61.0,Talent Gap
2024,Technology,84,Robotic Process Automation,North America,190,9.09,12.0,Automation,38.0,Talent Gap
2025,Technology,92,Robotic Process Automation,North America,195,9.52,88.0,NLP,70.0,Data Quality
2025,Technology,92,Robotic Process Automation,North America,195,9.52,60.0,Computer Vision,63.0,Talent Gap
2025,Technology,92,Robotic Process Automation,North America,195,9.52,18.0,Automation,41.0,Talent Gap
